,name,year,average,median,stddev,first_qt,third_qt,location_id,education_level_short_id,location_name,education_level_short_name
0,Brasil,2018,16.50086516704379,16,6.627857995770546,12,20,1,1,Urbana,Creche
1,Brasil,2018,20.286273729751233,20,5.547375516737574,17,24,1,2,Urbana,Pré-Escola
2,Brasil,2018,23.813138407147292,24,5.8167592040053435,20,28,1,3,Urbana,Ensino Fundamental - anos iniciais
3,Brasil,2018,28.706450354164325,29,6.8002356381153195,24,34,1,4,Urbana,Ensino Fundamental - anos finais
4,Brasil,2018,31.31418834920217,32,8.40530336992677,26,37,1,5,Urbana,Ensino Médio
5,Brasil,2018,28.32364192807957,26,40.45286051460942,15,36,1,6,Urbana,EJA
6,Brasil,2018,15.138893766461809,15,6.281110595482529,11,19,2,1,Rural,Creche
7,Brasil,2018,14.846217457013317,15,6.353339888216152,10,19,2,2,Rural,Pré-Escola
8,Brasil,2018,17.120497143666494,17,7.232559045868195,12,22,2,3,Rural,Ensino Fundamental - anos iniciais
9,Brasil,2018,19.84723909184341,19,8.785805236674598,13,26,2,4,Rural,Ensino Fundamental - anos finais
10,Brasil,2018,22.3392572775336,22,10.956890538236063,14,30,2,5,Rural,Ensino Médio
11,Brasil,2018,18.43106911348489,17,9.228206352994228,12,23,2,6,Rural,EJA
